Passengers by Market,,,,,,,,,
January 2005 - February 2022,,,,,,,,,
Month,UK,EU,Non-EU Europe,Africa,North America,Latin America,Middle East,Asia / Pacific,Total
January 2005,"520,535","1,744,522","296,634","358,609","1,019,101","84,992","351,909","764,821","5,141,123"
February 2005,"499,676","1,750,604","284,788","306,822","880,957","69,034","292,150","669,560","4,753,591"
March 2005,"588,602","2,090,599","336,179","345,153","1,151,386","72,028","334,172","790,508","5,708,627"
April 2005,"568,420","2,087,496","321,400","302,564","1,179,010","70,882","313,878","729,372","5,573,022"
May 2005,"559,711","2,198,082","320,871","276,538","1,224,247","65,004","290,197","701,971","5,636,621"
June 2005,"578,167","2,274,306","346,605","292,420","1,333,320","68,016","316,121","791,253","6,000,208"
July 2005,"591,089","2,432,169","394,557","348,344","1,368,455","78,329","379,237","864,763","6,456,943"
August 2005,"543,530","2,293,540","354,555","347,436","1,289,470","76,004","390,160","825,444","6,120,139"
September 2005,"578,379","2,293,180","331,109","343,706","1,256,625","71,943","346,909","820,169","6,042,020"
October 2005,"572,443","2,185,139","320,341","328,460","1,147,451","74,435","284,815","799,990","5,713,074"
November 2005,"560,840","1,876,003","271,114","321,150","1,046,368","68,194","295,594","768,959","5,208,222"
December 2005,"514,052","1,889,463","293,398","333,397","1,071,843","69,927","337,341","823,439","5,332,860"
January 2006,"482,042","1,707,444","294,154","348,473","984,269","71,451","340,488","884,397","5,112,718"
February 2006,"466,288","1,700,731","291,266","303,906","851,907","64,866","281,041","774,683","4,734,688"
March 2006,"536,854","1,944,872","337,208","323,002","1,094,644","71,628","317,001","865,934","5,491,143"
April 2006,"517,297","2,135,356","349,608","311,459","1,215,850","74,592","352,476","855,293","5,811,931"
May 2006,"526,098","2,186,677","336,763","268,513","1,238,134","65,930","309,742","784,884","5,716,741"
June 2006,"533,346","2,288,922","373,002","289,467","1,366,808","65,983","343,261","861,441","6,122,230"
July 2006,"547,759","2,417,696","419,787","343,288","1,380,565","69,392","411,265","943,339","6,533,091"
August 2006,"459,692","2,184,224","367,379","339,174","1,253,408","62,677","415,791","905,410","5,987,755"
September 2006,"501,908","2,199,072","351,704","329,768","1,229,334","52,645","349,137","883,175","5,896,743"
October 2006,"508,136","2,125,340","338,949","319,087","1,113,241","53,489","312,741","859,509","5,630,492"
November 2006,"495,123","1,822,034","290,619","336,185","982,472","58,883","305,119","808,659","5,099,094"
December 2006,"419,976","1,761,476","323,954","353,671","1,053,075","70,010","358,387","865,684","5,206,233"
January 2007,"421,685","1,619,561","310,709","356,036","973,693","70,980","355,454","905,045","5,013,163"
February 2007,"413,141","1,609,948","306,257","317,047","828,910","58,479","304,036","803,648","4,641,466"
March 2007,"501,662","1,962,587","361,473","355,895","1,113,007","65,749","356,962","929,642","5,646,977"
April 2007,"477,819","2,046,702","366,310","317,584","1,180,999","56,572","375,334","846,253","5,667,573"
May 2007,"479,572","2,113,721","354,573","277,618","1,220,365","51,755","337,210","775,815","5,610,629"
June 2007,"492,189","2,184,616","389,097","313,352","1,353,572","53,625","364,971","863,120","6,014,542"
July 2007,"501,906","2,351,180","427,636","365,683","1,345,080","58,877","436,542","932,528","6,419,432"
August 2007,"481,078","2,303,216","403,455","377,951","1,362,228","55,237","465,857","929,134","6,378,156"
September 2007,"494,964","2,216,137","373,791","355,279","1,250,322","53,308","367,718","910,637","6,022,156"
October 2007,"495,456","2,139,452","352,955","347,127","1,199,393","52,713","360,987","895,981","5,844,064"
November 2007,"485,953","1,811,698","293,737","358,894","1,040,270","47,312","334,545","849,538","5,221,947"
December 2007,"432,664","1,790,859","326,689","372,275","1,120,472","65,348","383,731","882,915","5,374,953"
January 2008,"406,662","1,576,165","309,969","356,176","959,319","77,544","361,558","910,494","4,957,887"
February 2008,"425,237","1,646,077","328,093","333,940","851,660","71,953","326,559","844,529","4,828,048"
March 2008,"467,351","1,908,119","364,830","365,384","1,126,514","61,045","387,948","931,078","5,612,269"
April 2008,"454,711","1,803,099","339,611","318,283","1,252,006","42,809","400,505","856,886","5,467,910"
May 2008,"467,450","1,969,566","360,407","301,008","1,356,488","43,758","360,572","785,912","5,645,161"
June 2008,"480,281","2,007,323","380,014","314,508","1,498,906","43,181","390,977","843,445","5,958,635"
July 2008,"497,617","2,155,731","422,044","369,785","1,542,785","47,249","470,002","912,447","6,417,660"
August 2008,"473,312","2,068,283","404,371","387,812","1,574,480","47,007","490,706","919,746","6,365,717"
September 2008,"479,681","1,984,502","365,092","339,721","1,370,366","44,097","376,588","842,659","5,802,706"
October 2008,"479,929","1,891,494","346,146","347,328","1,287,753","44,585","405,603","827,561","5,630,399"
November 2008,"441,671","1,613,890","287,870","340,002","1,067,443","47,104","385,730","788,119","4,971,829"
December 2008,"413,765","1,635,293","316,059","360,697","1,203,982","52,204","432,305","837,369","5,251,674"
January 2009,"381,949","1,434,238","307,489","357,980","1,039,013","55,300","392,458","884,764","4,853,191"
February 2009,"363,403","1,411,715","296,530","315,014","839,502","47,686","346,383","750,613","4,370,846"
March 2009,"447,905","1,677,338","343,888","346,976","1,075,307","53,264","404,629","844,264","5,193,571"
April 2009,"454,093","1,883,398","366,625","332,455","1,239,949","52,939","460,449","822,688","5,612,596"
May 2009,"444,263","1,860,525","349,159","291,762","1,298,111","47,656","397,040","736,273","5,424,789"
June 2009,"463,070","1,909,937","374,158","314,977","1,434,895","51,424","434,370","792,997","5,775,828"
July 2009,"492,394","2,138,165","434,807","380,728","1,510,459","62,551","539,236","919,136","6,477,476"
August 2009,"461,650","2,048,817","402,929","386,075","1,541,395","61,731","549,623","931,472","6,383,692"
September 2009,"462,119","1,926,390","365,299","329,929","1,353,990","57,675","442,896","845,313","5,783,611"
October 2009,"461,204","1,890,004","362,502","345,035","1,281,899","58,713","455,116","832,965","5,687,438"
November 2009,"415,133","1,674,835","304,939","336,259","1,036,142","53,962","420,419","787,050","5,028,739"
December 2009,"390,855","1,727,335","332,082","362,587","1,140,055","58,338","466,454","838,423","5,316,129"
January 2010,"329,823","1,470,651","328,327","352,888","999,815","63,053","429,791","855,744","4,830,092"
February 2010,"370,884","1,520,216","331,691","306,147","865,611","54,356","385,855","765,646","4,600,406"
March 2010,"390,013","1,709,165","365,662","331,000","1,098,796","53,443","432,998","830,800","5,211,877"
April 2010,"327,015","1,450,156","301,162","271,427","1,012,477","42,971","374,786","666,536","4,446,530"
